origin_airport_icao,origin_airport_iata,origin_airport_name,origin_city,region,country_code,origin_lat,origin_long,timezone,destination_airport_icao,destination_airport_iata,destination_airport_name,destination_airport_shortName,destination_airport_municipalityName,dest_lat,dest_long,destination_airport_countryCode,daily_flights,flight_time
EFRO,RVN,Rovaniemi Airport,Rovaniemi,Lapland,FI,66.56479645,25.83040047,Europe/Helsinki,EGKK,LGW,London Gatwick,London,Gatwick,51.1481,-0.190277,GB,0.29,03:40:00
EGAA,BFS,Belfast International Airport,Belfast,Northern Ireland,GB,54.65750122,-6.215829849,Europe/London,EGKK,LGW,London Gatwick,London,Gatwick,51.1481,-0.190277,GB,4.86,01:25:00
EGAA,BFS,Belfast International Airport,Belfast,Northern Ireland,GB,54.65750122,-6.215829849,Europe/London,EGGW,LTN,London Luton,London,Luton,51.8747,-0.368333,GB,4,01:10:00
EGAA,BFS,Belfast International Airport,Belfast,Northern Ireland,GB,54.65750122,-6.215829849,Europe/London,EGGP,LPL,Liverpool John Lennon,Liverpool,John Lennon,53.3336,-2.84972,GB,3.57,00:50:00
EGAA,BFS,Belfast International Airport,Belfast,Northern Ireland,GB,54.65750122,-6.215829849,Europe/London,EGBB,BHX,Birmingham,Birmingham,Birmingham,52.4539,-1.748029,GB,3.43,01:05:00
EGAA,BFS,Belfast International Airport,Belfast,Northern Ireland,GB,54.65750122,-6.215829849,Europe/London,EGPH,EDI,Edinburgh,Edinburgh,Edinburgh,55.95,-3.372499,GB,3.29,00:55:00
EGAA,BFS,Belfast International Airport,Belfast,Northern Ireland,GB,54.65750122,-6.215829849,Europe/London,EGCC,MAN,Manchester,Manchester,Manchester,53.3537,-2.27495,GB,3.29,00:55:00
EGAA,BFS,Belfast International Airport,Belfast,Northern Ireland,GB,54.65750122,-6.215829849,Europe/London,EGSS,STN,London Stansted,London,Stansted,51.885,0.234999,GB,3,01:15:00
EGAA,BFS,Belfast International Airport,Belfast,Northern Ireland,GB,54.65750122,-6.215829849,Europe/London,EGGD,BRS,Bristol,Bristol,Bristol,51.3827,-2.719089,GB,2.71,01:05:00
EGAA,BFS,Belfast International Airport,Belfast,Northern Ireland,GB,54.65750122,-6.215829849,Europe/London,EGPF,GLA,Glasgow,Glasgow,Glasgow,55.8719,-4.43306,GB,2.71,00:45:00
EGAA,BFS,Belfast International Airport,Belfast,Northern Ireland,GB,54.65750122,-6.215829849,Europe/London,EGNT,NCL,Newcastle,Newcastle upon Tyne,Newcastle,55.0375,-1.691669,GB,1.71,00:50:00
EGAA,BFS,Belfast International Airport,Belfast,Northern Ireland,GB,54.65750122,-6.215829849,Europe/London,GCTS,TFS,Tenerife South,Tenerife Island,Tenerife South,28.0445,-16.5725,ES,1,04:40:00
EGAA,BFS,Belfast International Airport,Belfast,Northern Ireland,GB,54.65750122,-6.215829849,Europe/London,LEAL,ALC,Alicante,Alicante,Alicante,38.2822,-0.558156,ES,0.86,03:00:00
EGAA,BFS,Belfast International Airport,Belfast,Northern Ireland,GB,54.65750122,-6.215829849,Europe/London,LSGG,GVA,Geneva Cointrin,Geneva,Cointrin,46.2381,6.10895,CH,0.86,02:10:00
EGAA,BFS,Belfast International Airport,Belfast,Northern Ireland,GB,54.65750122,-6.215829849,Europe/London,LFPG,CDG,Charles de Gaulle,Paris,Charles de Gaulle,49.0128,2.549999,FR,0.86,01:50:00
EGAA,BFS,Belfast International Airport,Belfast,Northern Ireland,GB,54.65750122,-6.215829849,Europe/London,GCRR,ACE,Lanzarote,Lanzarote Island,Lanzarote,28.9455,-13.605199,ES,0.71,04:30:00
EGAA,BFS,Belfast International Airport,Belfast,Northern Ireland,GB,54.65750122,-6.215829849,Europe/London,LEMG,AGP,M?laga,M?laga,M?laga,36.6749,-4.49911,ES,0.71,03:08:00
