origin_airport;destination_airport_icao;destination_airport_iata;destination_airport_name;destination_airport_shortName;destination_airport_municipalityName;destination_airport_location;destination_airport_countryCode;daily_flights;0;1;2;3;4;5;6;7;8;9
EGAA;EGGP;LPL;Liverpool John Lennon, Liverpool;John Lennon;Liverpool;{'lat': 53.3336, 'lon': -2.84972};GB;3.57;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;EGBB;BHX;Birmingham, Birmingham;Birmingham;EGBB;{'lat': 52.4539, 'lon': -1.748029};GB;3.43;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;EGPH;EDI;Edinburgh, Edinburgh;Edinburgh;EGPH;{'lat': 55.95, 'lon': -3.372499};GB;3.29;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;EGCC;MAN;Manchester, Manchester;Manchester;EGCC;{'lat': 53.3537, 'lon': -2.27495};GB;3.29;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;EGSS;STN;London Stansted, London;Stansted;London;{'lat': 51.885, 'lon': 0.234999};GB;3.0;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;EGGD;BRS;Bristol, Bristol;Bristol;EGGD;{'lat': 51.3827, 'lon': -2.719089};GB;2.71;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;EGPF;GLA;Glasgow, Glasgow;Glasgow;EGPF;{'lat': 55.8719, 'lon': -4.43306};GB;2.71;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;EGNT;NCL;Newcastle, Newcastle upon Tyne;Newcastle;Newcastle upon Tyne;{'lat': 55.0375, 'lon': -1.691669};GB;1.71;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;GCTS;TFS;Tenerife South, Tenerife Island;Tenerife South;Tenerife Island;{'lat': 28.0445, 'lon': -16.5725};ES;1.0;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;LEAL;ALC;Alicante, Alicante;Alicante;LEAL;{'lat': 38.2822, 'lon': -0.558156};ES;0.86;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
