origin_airport;destination_airport_icao;destination_airport_iata;destination_airport_name;destination_airport_shortName;destination_airport_municipalityName;destination_airport_location;destination_airport_countryCode;daily_flights
EGCC;;ATH;Eleftherios Venizelos, Athens;Eleftherios Venizelos;Athens;{'lat': 37.9364, 'lon': 23.944498};GR;1.14
EGCC;;MLA;Malta, Luqa;Malta;Luqa;{'lat': 35.8575, 'lon': 14.4775};MT;1.14
EGCC;;PFO;Paphos, Paphos;Paphos;;{'lat': 34.718, 'lon': 32.4857};CY;1.14
EGCC;;SOF;Sofia, Sofia;Sofia;;{'lat': 42.696693, 'lon': 23.411436};BG;1.14
EGCC;;HRG;Hurghada, Hurghada;Hurghada;;{'lat': 27.1783, 'lon': 33.7994};EG;1.0
EGCC;;INN;Innsbruck, Innsbruck;Innsbruck;;{'lat': 47.2602, 'lon': 11.343999};AT;1.0
EGCC;;SSH;Sharm el Sheikh, Sharm el Sheikh;Sharm el Sheikh;;{'lat': 27.9773, 'lon': 34.395};EG;1.0
EGCC;;HAM;Hamburg, Hamburg;Hamburg;;{'lat': 53.6304, 'lon': 9.988229};DE;0.86
EGCC;;VCE;Venice Marco Polo, Venice;Marco Polo;Venice;{'lat': 45.5053, 'lon': 12.3519};IT;0.86
EGCC;;TRN;Turin, Torino;Turin;Torino;{'lat': 45.2008, 'lon': 7.64963};IT;0.75
EGCC;;OPO;Francisco de Sá Carneiro, Porto;Francisco de Sá Carneiro;Porto;{'lat': 41.2481, 'lon': -8.681389};PT;0.71
EGCC;;BSL;Euro Basel-Mulhouse-Freiburg, Bâle/Mulhouse;Euro Basel-Mulhouse-Freiburg;Bâle/Mulhouse;{'lat': 47.5896, 'lon': 7.52991};FR;0.57
EGCC;;BOD;Bordeaux-Mérignac, Bordeaux/Mérignac;Bordeaux-Mérignac;Bordeaux/Mérignac;{'lat': 44.8283, 'lon': -0.715556};FR;0.57
EGCC;;GIB;Gibraltar, Gibraltar;Gibraltar;;{'lat': 36.1512, 'lon': -5.349659};GI;0.57
EGCC;;JER;Jersey, St Helier;Jersey;St Helier;{'lat': 49.2079, 'lon': -2.195509};JE;0.57
EGCC;;PSA;Pisa, Pisa;Pisa;;{'lat': 43.6839, 'lon': 10.3927};IT;0.57
EGCC;;NBE;Enfidha - Hammamet, Enfidha;Hammamet;Enfidha;{'lat': 36.075832, 'lon': 10.438611};TN;0.43
EGCC;;TLV;Ben Gurion, Tel Aviv Yafo;Ben Gurion;Tel Aviv Yafo;{'lat': 32.0114, 'lon': 34.8867};IL;0.43
EGCC;;BIO;Bilbao, Bilbao;Bilbao;;{'lat': 43.3011, 'lon': -2.910609};ES;0.29
EGCC;;DLM;Dalaman, Dalaman;Dalaman;;{'lat': 36.7131, 'lon': 28.7925};TR;0.29
EGCC;;LYS;Lyon Saint-Exupéry, Lyon;Saint-Exupéry;Lyon;{'lat': 45.7264, 'lon': 5.090829};FR;0.29
EGCC;;NCE;Nice-Côte d'Azur, Nice;Côte d'Azur;Nice;{'lat': 43.6584, 'lon': 7.215869};FR;0.29
EGGD;;AMS;Amsterdam Schiphol, Amsterdam;Schiphol;Amsterdam;{'lat': 52.3086, 'lon': 4.763889};NL;4.14
EGGD;;EDI;Edinburgh, Edinburgh;Edinburgh;;{'lat': 55.95, 'lon': -3.372499};GB;4.0
EGGD;;GVA;Geneva Cointrin, Geneva;Cointrin;Geneva;{'lat': 46.2381, 'lon': 6.10895};CH;4.0
EGGD;;GLA;Glasgow, Glasgow;Glasgow;;{'lat': 55.8719, 'lon': -4.43306};GB;3.0
EGGD;;ALC;Alicante, Alicante;Alicante;;{'lat': 38.2822, 'lon': -0.558156};ES;2.86
EGGD;;BFS;Belfast, Belfast;Belfast;;{'lat': 54.6575, 'lon': -6.215829};GB;2.71
EGGD;;TFS;Tenerife South, Tenerife Island;Tenerife South;Tenerife Island;{'lat': 28.0445, 'lon': -16.5725};ES;2.44
EGGD;;AGP;Málaga, Málaga;Málaga;;{'lat': 36.6749, 'lon': -4.49911};ES;2.43
EGGD;;FAO;Faro, Faro;Faro;;{'lat': 37.0144, 'lon': -7.965909};PT;2.0
EGGD;;BCN;Barcelona, Barcelona;Barcelona;;{'lat': 41.2971, 'lon': 2.078459};ES;1.86
EGGD;;CDG;Charles de Gaulle, Paris;Charles de Gaulle;Paris;{'lat': 49.0128, 'lon': 2.549999};FR;1.86
EGGD;;ACE;Lanzarote, Lanzarote Island;Lanzarote;Lanzarote Island;{'lat': 28.9455, 'lon': -13.605199};ES;1.72
EGGD;;ORY;Paris-Orly, Paris;Orly;Paris;{'lat': 48.7253, 'lon': 2.35944};FR;1.57
EGGD;;NCL;Newcastle, Newcastle upon Tyne;Newcastle;Newcastle upon Tyne;{'lat': 55.0375, 'lon': -1.691669};GB;1.43
EGGD;;KRK;John Paul II   Kraków-Balice, Kraków;John Paul II   -Balice;Kraków;{'lat': 50.0777, 'lon': 19.7848};PL;1.29
EGGD;;MAD;Adolfo Suárez Madrid–Barajas, Madrid;Adolfo Suárez –Barajas;Madrid;{'lat': 40.4936, 'lon': -3.56676};ES;1.29
EGGD;;LIS;Lisbon Portela, Lisbon;Portela;Lisbon;{'lat': 38.7813, 'lon': -9.135919};PT;1.14
EGGD;;PMI;Palma De Mallorca, Palma De Mallorca;Palma De Mallorca;;{'lat': 39.5517, 'lon': 2.73881};ES;0.86
EGGD;;KEF;Keflavik, Reykjavik;Keflavik;Reykjavik;{'lat': 63.985, 'lon': -22.6056};IS;0.86
EGGD;;FCO;Leonardo da Vinci–Fiumicino, Rome;Leonardo da Vinci–Fiumicino;Rome;{'lat': 41.8045, 'lon': 12.2508};IT;0.86
EGGD;;LPA;Gran Canaria, Gran Canaria Island;Gran Canaria;Gran Canaria Island;{'lat': 27.9319, 'lon': -15.386599};ES;0.83
EGGD;;BSL;Euro Basel-Mulhouse-Freiburg, Bâle/Mulhouse;Euro Basel-Mulhouse-Freiburg;Bâle/Mulhouse;{'lat': 47.5896, 'lon': 7.52991};FR;0.57
EGGD;;FUE;Fuerteventura, Fuerteventura Island;Fuerteventura;Fuerteventura Island;{'lat': 28.4527, 'lon': -13.8638};ES;0.57
EGGD;;FNC;Madeira, Funchal;Madeira;Funchal;{'lat': 32.6979, 'lon': -16.7745};PT;0.57
EGGD;;INN;Innsbruck, Innsbruck;Innsbruck;;{'lat': 47.2602, 'lon': 11.343999};AT;0.57
EGGD;;INV;Inverness, Inverness;Inverness;;{'lat': 57.5425, 'lon': -4.0475};GB;0.57
EGGD;;PFO;Paphos, Paphos;Paphos;;{'lat': 34.718, 'lon': 32.4857};CY;0.57
EGGD;;PRG;Ruzyn, Prague;Ruzyn;Prague;{'lat': 50.1008, 'lon': 14.26};CZ;0.57
EGGD;;SZG;Salzburg, Salzburg;Salzburg;;{'lat': 47.7933, 'lon': 13.0043};AT;0.57
EGGD;;TLS;Toulouse-Blagnac, Toulouse-Blagnac;Toulouse-Blagnac;;{'lat': 43.6291, 'lon': 1.363819};FR;0.57
EGGD;;GIB;Gibraltar, Gibraltar;Gibraltar;;{'lat': 36.1512, 'lon': -5.349659};GI;0.43
EGGD;;GNB;Grenoble-Isère, Grenoble/Saint-Geoirs;Grenoble-Isère;Grenoble/Saint-Geoirs;{'lat': 45.3629, 'lon': 5.32937};FR;0.43
EGGD;;HRG;Hurghada, Hurghada;Hurghada;;{'lat': 27.1783, 'lon': 33.7994};EG;0.43
EGGD;;LYS;Lyon Saint-Exupéry, Lyon;Saint-Exupéry;Lyon;{'lat': 45.7264, 'lon': 5.090829};FR;0.43
EGGD;;OPO;Francisco de Sá Carneiro, Porto;Francisco de Sá Carneiro;Porto;{'lat': 41.2481, 'lon': -8.681389};PT;0.43
EGGD;;SOF;Sofia, Sofia;Sofia;;{'lat': 42.696693, 'lon': 23.411436};BG;0.43
EGGD;;ATH;Eleftherios Venizelos, Athens;Eleftherios Venizelos;Athens;{'lat': 37.9364, 'lon': 23.944498};GR;0.29
EGGD;;BHD;George Best Belfast City, Belfast;George Best  City;Belfast;{'lat': 54.6181, 'lon': -5.872499};GB;0.29
EGGD;;BER;Berlin Brandenburg, Berlin;Brandenburg;Berlin;{'lat': 52.35139, 'lon': 13.493889};DE;0.29
EGGD;;CPH;Copenhagen Kastrup, Copenhagen;Kastrup;Copenhagen;{'lat': 55.6179, 'lon': 12.656};DK;0.29
EGGD;;IOM;Isle of Man, Castletown;Isle of Man;Castletown;{'lat': 54.0833, 'lon': -4.623889};IM;0.29
EGGD;;NCE;Nice-Côte d'Azur, Nice;Côte d'Azur;Nice;{'lat': 43.6584, 'lon': 7.215869};FR;0.29
EGGD;;PSA;Pisa, Pisa;Pisa;;{'lat': 43.6839, 'lon': 10.3927};IT;0.29
EGGD;;SSH;Sharm el Sheikh, Sharm el Sheikh;Sharm el Sheikh;;{'lat': 27.9773, 'lon': 34.395};EG;0.29
EGGD;;TRN;Turin, Torino;Turin;Torino;{'lat': 45.2008, 'lon': 7.64963};IT;0.29
EGGD;;VCE;Venice Marco Polo, Venice;Marco Polo;Venice;{'lat': 45.5053, 'lon': 12.3519};IT;0.29
EGGP;EGAA;BFS;Belfast, Belfast;;Belfast;{'lat': 54.6575, 'lon': -6.215829};GB;3.29
